Name,SellPrice,BuyPrice,AvgSellPrice,AvgBuyPrice,Sold,Bought,Profit,RelProfit,PotProfit,ApproxOffers
25 years backpack,2500000,1304000,1833153,1305546,21,11,1196000,0.92,13156000,3
abacus,1099000,175557,1099000,0,1,0,923443,5.26,0,0
abomination's eye,-1,0,0,0,0,0,-1,0,0,0
abomination's tail,-1,-1,-1,-1,-1,-1,0,0,0,-1
abomination's tongue,-1,-1,-1,-1,-1,-1,0,0,0,-1
abyss hammer,21699,19781,21787,19794,7,148,1918,0.1,13426,2
abyssador's lash,89437,43502,132555,71357,34,22,45935,1.06,1010570,2
acid resistant fishing rod,2000,100,781,42,6,19,1900,19.0,11400,0
acorn,1347,1059,1462,1135,523,1079,288,0.27,150624,8
adventurer's map,-1,-1,-1,-1,-1,-1,0,0,0,-1
afflicted strider head,-1,556,0,617,0,8,-557,-1.0,0,0
afflicted strider worms,-1,226,0,260,0,8,-227,-1.0,0,0
albino plate,1410000,330013,0,0,0,0,1079987,3.27,0,0
alchemist's boots,29000000,23300777,31364799,31796347,6,8,5699223,0.24,34195338,2
alchemist's notepad,18002000,18002000,25989500,21397666,2,3,0,0.0,0,1
alicorn headguard,265000000,222022000,237053137,222416777,28,18,42978000,0.19,773604000,2
alicorn quiver,144949000,130103000,149745816,141231400,17,15,14846000,0.11,222690000,2
alicorn ring,125000000,110000000,124333333,114637836,3,2,15000000,0.14,30000000,0
alloy legs,11100,9201,11280,9957,85,220,1899,0.21,161415,1
almanac of magic,1299,101,2220,97,135,25,1198,11.86,29950,0
alptramun's toothbrush,500000,238700,0,238750,0,2,261300,1.09,0,0
amarie's favourite book,-1,100,0,0,0,0,-101,-1.01,0,0
amazon armor,630000000,350000000,630000000,0,1,0,280000000,0.8,0,0
amazon disguise kit,80000000,150000,0,0,0,0,79850000,532.33,0,0
amazon helmet,280000000,220000000,280000000,0,1,0,60000000,0.27,0,1
amazon shield,1060000000,15600000,0,0,0,0,1044400000,66.95,0,0
amber,20699,18600,20776,19123,1,335,2099,0.11,2099,0
amber staff,7998,7901,7989,7905,12,977,97,0.01,1164,0
amber with a bug,48780,38710,0,40110,0,23,10070,0.26,0,1
amber with a dragonfly,69500,50910,0,51840,0,26,18590,0.37,0,1
amethyst necklace,599999,140000,749999,0,1,0,459999,3.29,0,1
amphora,220,0,220,0,1,0,220,0,0,0
amulet of loss,54400,50173,54749,49742,2323,622,4227,0.08,2629194,5
amulet of theurgy,888000,800400,880477,756759,76,69,87600,0.11,6044400,3
anatomy book,-1,-1,-1,-1,-1,-1,0,0,0,-1
ancient amulet,500,500,490,500,1,2,0,0.0,0,0
ancient belt buckle,200,1,200,79,1,30,199,199.0,199,1
ancient coin,390,320,1081,302,11,221,70,0.22,770,1
ancient liche bone,28950,26801,29683,27349,23,138,2149,0.08,49427,0
ancient map,-1,-1,-1,-1,-1,-1,0,0,0,-1
ancient shield,850,545,907,496,32,242,305,0.56,9760,1
ancient stone,160,130,189,137,3,319,30,0.23,90,1
ancient tiara,3000007,3000007,4495433,2627239,6,2,0,0.0,0,0
ancient watch,147999,1500,270000,1574,1,5,146499,97.67,146499,0
