shield of corruption,-1,-1,-1,-1,-1,-1,0,0,0,1673390998.9868245
shield of corruption,1142899,914503,1098501,974200,39,27,228396,0.25,6166692,1673395813.0802374
shield of corruption,1139000,914503,1098538,963645,40,27,224497,0.25,6061419,1673455719.465332
shield of corruption,1131897,881000,1098538,955380,40,26,250897,0.28,6523322,1673552918.6523347
shield of corruption,-1,-1,-1,-1,-1,-1,0,0,0,1673566177.6831183
shield of corruption,-1,-1,-1,-1,-1,-1,0,0,0,1673566304.5053785
shield of corruption,-1,-1,-1,-1,-1,-1,0,0,0,1673566548.6894825
shield of corruption,1129597,881000,1099281,953629,41,27,248597,0.28,6712119,1673629156.8536677
shield of corruption,1127996,881000,1099281,953629,41,27,246996,0.28,6668892,1673678940.8814464
shield of corruption,1099987,881000,1099941,951845,42,26,218987,0.25,5693662,1673720157.165648
shield of corruption,1099987,881000,1099941,951845,42,26,218987,0.25,5693662,1673736030.0495753
shield of corruption,1099595,881000,1099941,951845,42,26,218595,0.25,5683470,1673767731.5162296
shield of corruption,1099600,881000,1100638,951845,43,26,218600,0.25,5683600,1673848366.0949433
shield of corruption,1000000,881000,1110751,951845,40,26,119000,0.14,3094000,1673891533.2981374
shield of corruption,999700,881000,1110751,951845,40,26,118700,0.13,3086200,1673934736.3120234
shield of corruption,999700,888000,1116633,954679,38,25,111700,0.13,2792500,1673977885.5725968
shield of corruption,999000,888000,1116633,954679,38,25,111000,0.12,2775000,1674021138.4347243
shield of corruption,995891,808500,1115780,949006,37,26,187391,0.23,4872166,1674058911.3574183
shield of corruption,993192,820900,1109074,938870,37,28,172292,0.21,4824176,1674150735.808255
shield of corruption,992600,823000,1109074,938870,37,28,169600,0.21,4748800,1674193913.3529565
shield of corruption,990000,824100,1102301,925659,37,30,165900,0.2,4977000,1674232226.6798413
shield of corruption,962900,833005,1093871,923026,36,29,129895,0.16,3766955,1674323655.806036
shield of corruption,965000,836001,1093871,923026,36,29,128999,0.15,3740971,1674366717.9303544
shield of corruption,964789,838005,1083641,916972,36,27,126784,0.15,3423168,1674409936.8808632
shield of corruption,964783,838000,1083641,916972,36,27,126783,0.15,3423141,1674453125.7888205
shield of corruption,947991,807100,1083641,905698,36,29,140891,0.17,4085839,1674496304.7655702
shield of corruption,943800,807100,1083641,905698,36,29,136700,0.17,3964300,1674539550.886527
shield of corruption,940000,807100,1078057,899763,36,29,132900,0.16,3854100,1674582729.294631
shield of corruption,939000,807100,1078057,899763,36,29,131900,0.16,3825100,1674625922.2014937
shield of corruption,939000,807100,1060747,895791,39,28,131900,0.16,3693200,5,1674677419.3885167
shield of corruption,935995,807100,1060747,895791,39,28,128895,0.16,3609060,4,1674713293.5983503
shield of corruption,849000,800002,1058609,878732,38,26,48998,0.06,1273948,5,1674756455.6750972
shield of corruption,937900,800002,1058609,878732,38,26,137898,0.17,3585348,1,1674799704.7632396
shield of corruption,937900,706001,1040690,863244,40,28,231899,0.33,6493172,1,1674842871.893868
shield of corruption,937999,710004,1040690,863244,40,28,227995,0.32,6383860,3,1674886076.1078615
shield of corruption,937999,711100,1031108,863244,38,28,226899,0.32,6353172,5,1674929294.2194188
shield of corruption,937999,713000,1031108,863244,38,28,224999,0.32,6299972,4,1674972457.527237
shield of corruption,938000,716101,1031108,860994,38,27,221899,0.31,5991273,4,1675015695.3773596
shield of corruption,964782,719505,1031108,860994,38,27,245277,0.34,6622479,3,1675058867.5986269
shield of corruption,964782,723000,1022688,858763,42,26,241782,0.33,6286332,3,1675102078.8433363
shield of corruption,993983,725200,1022688,858763,42,26,268783,0.37,6988358,3,1675146938.7902558
shield of corruption,993983,726000,1022732,857110,41,25,267983,0.37,6699575,2,1675188388.1510484
shield of corruption,733000,733000,1019181,847372,41,27,0,0.0,0,7,1675274886.2488153
shield of corruption,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675318009.2021177
shield of corruption,751600,751600,1012506,844886,39,26,0,0.0,0,3,1675361312.712718
shield of corruption,801000,801000,1012506,844886,39,26,0,0.0,0,6,1675404480.2233305
shield of corruption,801100,801100,1014352,841431,39,27,0,0.0,0,5,1675448500.6482828
shield of corruption,1200000,801600,1014352,841431,39,27,398400,0.5,10756800,3,1675490898.5547266
shield of corruption,1200000,801603,1007574,840059,37,28,398397,0.5,11155116,2,1675533825.267947
shield of corruption,1200000,801700,1007574,840059,37,28,398300,0.5,11152400,3,1675577291.4275572
shield of corruption,1496000,901000,1016939,840059,37,28,595000,0.66,16660000,4,1675620442.8378954
shield of corruption,1496000,901000,1016939,840059,37,28,595000,0.66,16660000,1,1675663684.310732
shield of corruption,1497993,901000,1022992,836542,36,27,596993,0.66,16118811,0,1675706833.1997683
shield of corruption,1497993,904000,1022992,836542,36,27,593993,0.66,16037811,2,1675750063.3204992
